College,Course,LO (please exclude the hashtag),Rubric,Description,Last Update
AH,AH152,nationinhistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-nationinhistory,"Historicize the sources, practices, and effects of nationalism and national identity and assess theoretical approaches to the history of nationalism and national identity",Not used anymore
AH,AH154,caseanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-caseanalysis,"Analyze specific (hypothetical and real) legal cases, determine what legal and philosophical issues are raised by the case, and evaluate competing arguments regarding how the cases should be resolved.",Dec/2020
AH,AH154,deduction,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-deduction,Analyze and apply deductive logic.,
AH,AH154,distinctionsdefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-distinctionsdefinitions,Analyze and use distinctions between different concepts in analyzing ethical and political problems that arise in the law and philosophy of the law.,
AH,AH154,empiricalnormative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-empiricalnormative,Clearly distinguish between empirical from normative claims; Analyze and evaluate the relationship between empirical and normative claims.,
AH,AH154,legalauthority,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-legalauthority,"Identify, analyze, and evaluate arguments regarding the nature of legal authority, and apply those arguments to contemporary social and legal problems.",
AH,AH154,constitutions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-constitutions,Identify competing positions regarding the nature and authority of constitutions; analyze and evaluate arguments in their favor; and apply these arguments to contemporary constitutional disputes.,
AH,AH154,domesticlaw,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-domesticlaw,"Analyze, evaluate, and develop arguments regarding domestic legal disputes and the reform of domestic law.",
AH,AH154,implications,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-implications,"Develop arguments regarding the possible, likely or necessary consequences of a philosophical position.",
AH,AH154,legalcaseanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-legalcaseanalysis,"Analyze specific legal cases, determine what legal and philosophical issues are raised by the case, and evaluate competing arguments regarding how the cases should be resolved.",
AH,AH154,intlaw,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-intlaw,"Analyze, evaluate, and compare competing approaches to the nature and function of international law, and consider how contemporary international law might be reformed.",
AH,AH154,rights,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH154-rights,"Identify competing conceptions of rights, analyze arguments in their favor, evaluate competing conceptions of rights, and apply those conceptions to practical legal and social issues.",
AH,AH156,litanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-litanalysis,Analyze the formal elements of literature.,Dec/2020
AH,AH156,multimediaanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-multimediaanalysis,Analyze how elements of multimedia art work in conjunction with one another.,
AH,AH156,musicanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-musicanalysis,Analyze the formal elements of music.,
AH,AH156,visartanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-visartanalysis,Analyze the formal elements of visual art.,
AH,AH156,artmarkets,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-artmarkets,"Analyze the interactions between various actors (e.g., patrons, clients, fans, artists), art market forces, and artworks.",
AH,AH156,historicizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-historicizeart,"Historicize art in its political, social, and cultural context.",
AH,AH156,ideasandbeliefs,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-ideasandbeliefs,Analyze how prevailing intellectual trends and religious beliefs influence the arts.,
AH,AH156,recontextualizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-recontextualizeart,Draw connections between original and later versions of art and their corresponding historical time periods.,
AH,AH156,socialdynamicsart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-socialdynamicsart,"Analyze how the social dynamics of gender, class, and intercultural relations influence the arts.",
AH,AH156,techarts,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH156-techarts,Assess the impact of technology on the arts.,
AH,AH162,digitalhistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-digitalhistory,"Identify, apply, and evaluate the benefits and limitations of new digital platforms for finding and analyzing historical sources and communicating historical knowledge.",Dec/2020
AH,AH162,publichistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-publichistory,"Analyze the goals, practices, and debates within key subfields of public history (curation, preservationism, documentary filmmaking, activism, etc.).",
AH,AH162,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-evidencebased,Identify and appropriately structure the information needed to support an argument effectively.,
AH,AH162,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalarguments,"Craft, and evaluate the historiographical contributions of, arguments about the past",
AH,AH162,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-primarysources,"Locate, contextualize, and close read historical evidence.",
AH,AH162,historicalframing,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalframing,"Analyze, and propose solutions to resolve, ethical problems confronted by historians and in public history contexts.",
AH,AH162,historicalgenres,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalgenres,Evaluate the merits of different narrative strategies for presenting scholarly and popular interpretations of the past.,
AH,AH162,historydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historydeliverables,"Synthesize theory and practice to present historical narratives, methods, or perspectives with the scope, depth, and rigor appropriate to the project context",
AH,AH162,historyandidentity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandidentity,Analyze how historical forces and narratives shape and are shaped by individual and collective identity.,
AH,AH162,historyandmemory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandmemory,"Identify and analyze the relationship between personal and dierent levels of collective memories, and explain how those personal or collective memories are constructed, reinforced, or contested in public discourse.",
AH,AH162,historyandpower,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyandpower,Analyze how different interest groups use historical narratives to reinforce or undermine hegemonic power.,
AH,AH162,historyviz,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historyviz,Apply spatial mapping and social network analysis tools to analyze historical datasets.,Not used anymore
AH,AH162,historicalsources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH162-historicalsources,"Assess the quality and determine the use-value of different types of primary and secondary historical sources, ranging from traditional textual sources to non-traditional ones, such as digital and material sources.",
AH,AH164,distinctionsdefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-distinctionsdefinitions,Define terms clearly and use appropriate distinctions between competing conceptions in analyzing philosophical problems.,Dec/2020
AH,AH164,implications,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-implications,"Develop arguments regarding the possible, likely or necessary consequences of a philosophical position.",
AH,AH164,justifiedposition,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-justifiedposition,"Articulate a clear and coherent philosophical position, supported by moral or philosophical reasons.",
AH,AH164,assumptions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-assumptions,"Identify background assumptions in philosophical arguments, and explain or evaluate their significance for the argument.",
AH,AH164,caseanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-caseanalysis,"Effectively apply philosophical argument and theory to a case study, use an example to illustrate a theoretical point or devise/evaluate a thought experiment with an appropriate/insightful analogy.",
AH,AH164,empircalnormative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-empircalnormative,Clearly distinguish between empirical from normative claims; Analyze and evaluate the relationship between empirical and normative claims.,
AH,AH164,bordersandboundaries,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-bordersandboundaries,"Analyze and evaluate philosophical arguments that define borders and membership boundaries of political structure, including engaging with questions of secession, immigration restriction and citizenship",
AH,AH164,environmentanimals,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-environmentanimals,"Analyze and evaluate philosophical problems related to non-humans animals and the environment, including the justice of social and political institutions given their relationship to nonhuman animals and the environment",
AH,AH164,globaljustice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-globaljustice,"Analyze and evaluate moral and philosophical problems related to international trade, development assistance, human rights, and just war.",
AH,AH164,democracylegitimacy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-democracylegitimacy,"Analyze and evaluate philosophical problems related to democracy, including the right for political participation, collective self-rule, equal citizenship, and institutions for fair decision-making.",
AH,AH164,justice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-justice,Analyze and evaluate moral and philosophical problems related to the principles and metrics of justice.,
AH,AH164,socialcategories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-socialcategories,"Analyze and evaluate moral and political issues arising from social difference, including race, gender, ethnicity, and social equality.",
AH,AH164,thoughtexperiments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH164-thoughtexperiments,Analyze and evaluate the role of thought experiments in philosophical argument.,
AH,AH166,litanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-litanalysis,Analyze formal elements of literature.,Dec/2020
AH,AH166,multimediaanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-multimediaanalysis,Analyze how elements of multimedia art work in conjunction with one another.,
AH,AH166,musicanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-musicanalysis,Analyze formal elements of music.,
AH,AH166,visartanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-visartanalysis,Analyze formal elements of visual art.,
AH,AH166,contextualizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-contextualizeart,"Historicize the arts of the past and present in their dynamic technological, political, social, and cultural contexts.",
AH,AH166,expressart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-expressart,"Analyze how works of art can express emotions and thoughts, and how artistic expression compares with expression in ordinary (linguistic and nonlinguistic) human interactions.",
AH,AH166,humorcomm,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-humorcomm,Analyze various uses of humor as a mode of artistic communication and differentiate among those uses.,
AH,AH166,protestart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-protestart,Analyze how a work of art can serve as a tool of protest and/or propaganda and examine how effectively it can be used for such purposes.,
AH,AH166,produceart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH166-produceart,"Analyze and evaluate theories of artistic communication, and effectively apply those theories to the analysis and production of artworks.",
Business,,,,,
B,B110,customerCentricity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-customerCentricity,Identify customer needs and explain how their fulfillment leads to better business.,Dec/2020
B,B110,whyExist,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-whyExist,Identify why a given company exists and analyze its competitive advantage. Use these insights to evaluate business strategy and execution.,
B,B110,aboveTheRevenueLine,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-aboveTheRevenueLine,Explain how financial performance can be linked to effective marketing strategy.,
B,B110,researchStrategy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-researchStrategy,Assess the role of market research and consumer psychology in decision-making and strategy formation.,
B,B110,consumerBehavior,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-consumerBehavior,Design studies and evaluate research in consumer behavior.,
B,B110,marketAnalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B110-marketAnalysis,Utilize analytical techniques and apply statistical analyses to market research questions.,
B,B111,bizfunctions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizfunctions,"Analyze how improved operating, marketing, or other business functions can enhance financial performance.",Dec/2020
B,B111,bizrisk,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizrisk,Analyze business risk and ways to manage it.,
B,B111,bizstrategy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-bizstrategy,Formulate and analyze business strategy.,
B,B111,financials,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-financials,Use accounting and financial information to evaluate business situations.,
B,B111,valuation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B111-valuation,Calculate the value of a financial asset.,
B,B112,econStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-econStrat,Analyze how economic and financial environments influence business strategy.,Dec/2020
B,B112,poliStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-poliStrat,Analyze how political and legal environments influence business strategy.,
B,B112,socioCulturalStrat,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-socioCulturalStrat,Analyze how social and cultural environments influence business strategy.,
B,B112,globalSegmentation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-globalSegmentation,Utilize segmentation strategies to identify new global markets.,
B,B112,intCompetitiveness,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-intCompetitiveness,Analyze the factors influencing a firm’s international competitiveness.,
B,B112,localGlobalMix,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-localGlobalMix,Analyze the interaction between global and local considerations when developing the marketing mix.,
B,B112,flatWorld,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-flatWorld,Evaluate the “flat-world” debate and apply it to business strategy issues.,
B,B112,howGlobal,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-howGlobal,"Analyze the utility, costs, and implementation of global value chains.",
B,B112,whyGlobal,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B112-whyGlobal,Explain and evaluate the motivations for why a business exists in the global marketplace.,
B,B113,BizUnit,https://forum.minerva.edu/app/outcome-index/learning-outcomes/B113-BizUnit,Explain the role and function of departments as part of the internal value stream,Dec/2020
